FIPS,year,sba_loan_7a,total_loan_7a,total_loan_504,sba_loan_7a_pp,total_loan_7a_pp,total_loan_504_pp
29095,2014,29981709.089989543,39498114.35651966,6421344.622634723,43.85579767508706,57.77593620723047,9.39283313459616
29095,2015,44749390.096826546,60783142.50548528,3459338.223705758,64.99038578938841,88.2765077328507,5.024062344719162
29095,2016,40980221.046297014,54957821.122097515,5468486.829224258,59.0948657052584,79.25103807992835,7.885743086131611
29095,2017,40362518.869921945,54481864.30917947,13099032.532999605,57.794825237296166,78.01222308495635,18.756418509512933
29095,2018,43612637.96936882,57932330.856600486,5082252.497534622,62.01257519244465,82.37366943594931,7.226427472048569
29095,2019,35489888,47319958,8718000,50.11294581458858,66.81741264448642,12.31011666228936
29510,2009,NA,NA,NA,NA,NA,NA
29510,2010,NA,NA,NA,NA,NA,NA
29510,2011,NA,NA,NA,NA,NA,NA
29510,2012,NA,NA,NA,NA,NA,NA
29510,2013,NA,NA,NA,NA,NA,NA
29510,2014,NA,NA,NA,NA,NA,NA
29510,2015,NA,NA,NA,NA,NA,NA
29510,2016,NA,NA,NA,NA,NA,NA
29510,2017,NA,NA,NA,NA,NA,NA
29510,2018,NA,NA,NA,NA,NA,NA
29510,2019,NA,NA,NA,NA,NA,NA
31055,2009,13315762.9687869,15940026.150532598,3652586.4905399866,26.020613962951625,31.148742133260505,7.137596490671976
31055,2010,54535916.16612732,66043711.86248402,7212828.982720943,105.22664043739148,127.43084575923412,13.91709932201675
31055,2011,33146468.214091215,46567018.58372343,7201327.8950661635,63.172589540422784,88.75030462099733,13.724736171668912
31055,2012,32599848.452509265,45335284.749281585,25805401.276370846,61.38672205151098,85.36802028648825,48.59252636980747
31055,2013,37689993.121135995,51889587.456856996,15148085.67655522,70.10070234841301,96.51093630089369,28.17436028039397
31055,2014,22604194.66919779,31622296.621326227,15832063.366351247,41.608964274836566,58.20915231269082,29.14307581615057
31055,2015,40723176.22062822,54971782.13889512,10049107.857429566,74.08173863961503,100.00215049298191,18.280877155114855
31055,2016,44407764.64874068,60113119.464398004,8930429.822854636,79.84724628881432,108.08621179266721,16.057332206895214
31055,2017,35791376.607500225,48486395.31559329,6043964.861555391,63.616447227396904,86.18087654652459,10.74268743211199
31055,2018,19268341.775036577,26667580.775693815,14733184.627556195,33.85965008397385,46.86209971742036,25.890161277808676
31055,2019,38595522,52791894,12887000,67.06223263216789,91.72935338251801,22.39200164026147
37081,2009,2723979.948819239,3172779.955026332,2971772.1098665525,5.6387644076650485,6.567801165904542,6.151705635010593
37081,2010,15417692.616845587,18404167.363242302,1489519.2732526897,31.491928968833413,37.59205386547196,3.042467917652601
37081,2011,16706981.189601632,24321401.22766564,3914726.773423559,33.72926353472588,49.10180613911977,7.903333912258915
37081,2012,11625845.261108574,16502548.69265755,8896843.264766444,23.20995901590655,32.94586072772665,17.76175090141215
37081,2013,11966901.956772475,16229755.00889215,3435537.8239272805,23.61439559867724,32.026321986593636,6.779377783948869
37081,2014,18540800.749051984,24819727.574557785,4079492.175130005,36.225590787788526,48.49355250345884,7.970638170295917
37081,2015,31604507.666306727,41924937.20557418,8702810.835485993,61.107291160441235,81.0618337027751,16.826878028074397
37081,2016,28561506.448074747,37304845.704577185,2271638.1386775607,54.65490662287376,71.38604058826931,4.346975555231957
37081,2017,33954855.591322735,44364452.46546302,6163402.6680188365,64.31318902593702,84.02979096081532,11.673973395797864
37081,2018,21972720.628895927,28575436.367416725,1193628.0930282823,41.19810446353646,53.57797208816226,2.238012110458527
37081,2019,23109790,30343200,2790000,42.897192445125064,56.32409856605875,5.1788946122789925
37119,2009,12422296.38969239,14626412.71919112,17057347.734461576,13.72209433100851,16.15683676840472,18.842130899671123
37119,2010,43728366.6149708,54961209.81753699,8549635.491921712,47.17838000995908,59.29745479427817,9.224171479719132
37119,2011,36948590.19417279,51077784.62550115,14971065.270793261,39.010901502080266,53.92872676598494,15.80668571089999
37119,2012,54667529.89114477,73246022.78022666,14083956.71174439,56.44556519478035,75.62831469305799,14.542030678104688
37119,2013,65294048.74527399,87709762.86321056,16286120.975685218,65.93440367375348,88.56995425897371,16.44584300292967
37119,2014,65225771.89271096,86598893.70831385,14958490.0807913,64.46674049017959,85.59114358375868,14.784418339264796
37119,2015,66177452.20505397,89589668.46236151,11376368.472150058,63.983459382817166,86.61948627789258,10.999205708408722
37119,2016,101469994.45982344,137614224.8235896,23070538.99326685,96.01572517550377,130.2171115830054,21.830439071378144
37119,2017,125213466.64841597,168409366.38598347,19841090.780608583,116.01122431342637,156.03255227446812,18.382920741547547
37119,2018,93306099.73898421,124549088.0525955,9246329.538893642,84.68223072628119,113.03756818388501,8.391732304470931
37119,2019,90142530,121065300,10263000,80.17273029668591,107.6754296244777,9.127908114348328
37183,2009,10777898.484005885,12423879.94775949,12987487.91383142,12.252373631577141,14.123534314198803,14.7642469162236
37183,2010,50503085.470576644,60687938.46948402,7241320.170044064,55.76920410676626,67.01606438076666,7.996395840030637
37183,2011,26206966.9771558,37314644.79386341,9044788.214641608,28.20337078127945,40.15721329409954,9.733805360919668
37183,2012,33764821.84937384,45617853.35089969,20735437.192059904,35.448148056114555,47.89210577797856,21.769190753364946
37183,2013,61706642.146710835,83185879.66183,7641553.406870068,63.2227878214572,85.22977489355227,7.829308043050461
37183,2014,53440417.936172485,71446675.28342134,15420100.148251634,53.51662561104261,71.54856043347861,15.442089683961596
37183,2015,69562590.74371687,92227479.95657335,7062507.0797636965,67.9447581083978,90.08252495487288,6.898252782753552
37183,2016,85434607.71486263,113659549.17837805,10617393.569750795,81.44028738002207,108.34562943701043,10.12099905032839
37183,2017,85990947.66319095,114765523.03094707,12099255.721999558,80.04511637382673,106.83007800654305,11.26265448425464
37183,2018,91200355.13880706,122389458.66094907,7913461.651412357,82.94590996293556,111.31212157071754,7.19722282478141
37183,2019,62600000,83894100,10605000,55.65676314135306,74.58904237471226,9.428753564122193
39049,2009,12260181.655366056,15723344.548153918,12221138.279898506,10.627103962365402,13.628967485664386,10.593261232967203
39049,2010,55026705.358955376,73119213.32230753,10972526.061879799,47.13272760822022,62.62973481632941,9.398438061574975
39049,2011,49285143.87340386,74087420.62756367,20786756.824870802,41.70260874157562,62.68904729262874,17.58870764586842
39049,2012,57444321.23444079,84099732.25313172,11875474.282207146,47.96652051319714,70.22402642396719,9.916126929878578
39049,2013,68942617.77578926,100090740.35664672,20721458.17257699,56.70737733468113,82.32764528278726,17.044022774687615
39049,2014,69638574.00076187,103607376.14132544,19855570.79645746,56.51940317466498,84.08884225482092,16.11499125607893
39049,2015,95486433.55480169,135051358.61434865,18296102.497740634,76.17542906007041,107.73881487247272,14.595931652348678
39049,2016,108758131.54536045,152202689.1413912,11694535.639197536,85.3074537416075,119.3843961714455,9.17293303861455
39049,2017,115076220.92137274,159073345.5019662,13209203.613099508,88.77385831153855,122.71479304471332,10.190045871933647
39049,2018,95556623.45587194,133324080.79742555,27106355.637535762,72.51916897189437,101.1813853786487,20.57136714964078
39049,2019,113975888,156086900,12980000,85.11615062174073,116.5642691942052,9.69334527202977
39061,2009,10524679.457903799,12807517.11744627,17265406.458606258,13.135768017023723,15.98495939014016,21.548815321834567
39061,2010,27324854.98414793,34469778.071002945,14863282.602725003,34.09852746508758,43.014635391530476,18.547803834435644
39061,2011,29340528.82247804,43246008.78311047,5646495.735904151,36.56227228118552,53.89038342728422,7.036298349623419
39061,2012,41081135.80998781,58903892.736923255,7640741.765059111,51.14224796829444,73.32994644021359,9.512023032122507
39061,2013,36102616.05022522,51382722.39425013,14908048.099337595,44.89291893526341,63.89344162509312,18.537875312844406
39061,2014,43627538.58631523,62957803.46389849,4718563.321156327,54.130810378012974,78.11481077205399,5.8545511544004105
39061,2015,77257703.0173799,106219471.93273856,15383532.192608973,95.53285077139554,131.34546543383487,19.02247449633422
39061,2016,83070584.73546219,113705862.09614998,9493100.339676524,102.37415256988763,140.1283175192651,11.699064182949252
39061,2017,79478024.6694645,109770139.73923972,9598269.240105512,97.61738471449705,134.8231036900236,11.788893155074636
39061,2018,68614046.10410148,94466935.8514348,11371249.880328607,83.99145335952304,115.6383523068253,13.919712627266426
39061,2019,75127231,103808312,5884000,91.6571374541728,126.64878759966084,7.178630033367697
39113,2009,4310485.514512486,5138472.545473263,6959564.322639639,8.020865885224262,9.561567717461491,12.950219148990133
39113,2010,26351660.98509726,33278846.440896552,8221417.013959375,49.19787498197858,62.13075250435295,15.349174636704296
39113,2011,10217326.293133415,15838829.705568817,3734472.405042757,19.046789241402777,29.5262030963211,6.961675372400201
39113,2012,16315299.537746517,23387351.65361818,6911812.397353301,30.507234537232574,43.73094226379192,12.924082784724225
39113,2013,19354470.960230775,29417140.88618357,2255710.268049571,36.260420748966816,55.112738961268526,4.226052139338192
39113,2014,32387122.18046731,50490634.536666,5749527.682349202,60.791090527398424,94.77164157411296,10.791945510931173
39113,2015,54245146.61151736,79705860.07431905,9163914.92155622,101.96705297595122,149.82670643139596,17.22582491969958
39113,2016,47864510.53666633,66599023.55960746,873868.1769636004,90.104177677629,125.37159964008309,1.645042905507961
39113,2017,43966904.756285705,61641645.98853172,4230775.403088774,82.88776797385883,116.2087365154744,7.975988573782798
39113,2018,35422997.21261098,50518921.68439761,2812038.4575400027,66.87811581397861,95.37900689001087,5.309088683488625
39113,2019,35241050,48957100,3084000,66.63197142700481,92.56557589370966,5.831069161698724
40109,2009,5794863.143695713,6617770.074141957,6932979.041221152,8.133243990023331,9.288215674502494,9.730619813051886
40109,2010,30892486.131676678,37562553.437302224,10575928.734341975,42.84149248313199,52.09149706735131,14.666627005777347
40109,2011,28706818.602842346,39131896.34944729,10067704.108827142,39.210644462835695,53.450258495826205,13.751477369532155
40109,2012,31536249.388855524,43174666.51212438,18374009.761262957,42.43619938081468,58.097230704807785,24.724663102440246
40109,2013,34555906.05991894,47494756.6011207,8363809.331176677,45.80095702989998,62.95031889661847,11.085528219670072
40109,2014,38804479.21041402,53033609.53987884,10270559.922006484,50.74484202968233,69.35235810722513,13.430870646982841
40109,2015,32031034.23381258,44190481.18075684,9537240.018764453,41.372914124347986,57.07867468965741,12.318784632408365
40109,2016,36008833.18651529,49477714.15128749,4751789.187685765,45.94674698550389,63.132843037569465,6.063213834343614
40109,2017,44160975.747244865,61751055.13779729,2184888.1492709606,55.673540079707294,77.84927268942552,2.754478493507999
40109,2018,45449632.613523364,61706991.52528311,17571456.669558357,56.61967541966589,76.87256486746668,21.889949732730994
40109,2019,39048730,54487130,3570000,48.07636572714636,67.08395354477773,4.395344628260958
40143,2009,13263761.002450539,16075213.462427406,13679861.112512892,22.222082423648814,26.932385050802107,22.919215834043243
40143,2010,49930552.78202357,58986050.44451477,12566892.904481567,82.84588609442895,97.87096965699689,20.851268814720566
40143,2011,45515607.017363444,64009380.091857664,21035574.204537556,74.66348487945316,105.00054148038527,34.50660947907278
40143,2012,30182557.046464972,41346240.47883797,13694543.552508699,48.98747832668694,67.1065760342623,22.226783318577795
40143,2013,54406017.111232676,72954706.5714594,17207693.816788606,87.28214701762724,117.03932327153039,27.605852096847773
40143,2014,53273671.07022492,72097882.4433265,14746170.576078422,84.58514704960746,114.47324477405002,23.413197955740618
40143,2015,46917700.334226415,63681012.473928005,11925251.547082275,73.6399413209481,99.950892486895,18.717345861132426
40143,2016,46718475.38252492,64947266.012646526,8623423.376990926,72.49659832520707,100.78359402542512,13.381619490600002
40143,2017,51864431.11416488,69842583.50100604,4177234.3174327463,79.58048298765715,107.16605597931336,6.409524165071274
40143,2018,54953850.395488255,75042278.23642838,7810545.281599267,83.38684749316526,113.86898216970937,11.851703630372942
40143,2019,36076135,48767450,2512000,54.14211275912733,73.18890387995012,3.7699434058257033
45045,2009,2401737.4409821536,3008182.3865918717,4003974.5579843395,5.390064860615355,6.751070245905104,8.985862567460241
45045,2010,28603271.654048696,33184711.557980966,1576132.4827149732,63.151499133529605,73.26659371511548,3.4798511974560653
45045,2011,14992059.92836203,19568657.519524463,4522947.034831175,32.60156946259822,42.55378850278339,9.83555112748349
45045,2012,18373765.700090736,24501680.73017202,5392124.831645207,39.33692374245213,52.45635337779048,11.544155225140512
45045,2013,24636461.412629537,33601197.31719625,10024783.637816504,51.87682834732469,70.753811446119,21.109118362731977
45045,2014,26542129.944693103,35892136.929537125,1940452.3888435576,55.04484725905938,74.43551814433933,4.024240163842871
45045,2015,28394916.529586025,37953625.3853854,4409043.428501775,57.9095725540777,77.40393322358199,8.991955304776711
45045,2016,17512789.77795683,24120123.828835722,3737515.332409068,35.13287535725471,48.38802468505962,7.497929341025628
45045,2017,33427372.933984604,45627816.15969274,4182382.498745826,65.98193680787465,90.06426225823357,8.255560443939224
45045,2018,29869907.368101567,40422724.90733176,498438.104781041,58.027425412286554,78.52808599689514,0.9683016285049023
45045,2019,35721064,48284386,7880000,68.31389798353784,92.3403238884979,15.069918301153576
47037,2009,6098854.277898107,7058970.157508765,1714172.7105920254,9.829838160633784,11.377306468940363,2.762820614612503
47037,2010,17867832.158359505,21131685.70805918,919695.5267902989,28.401626032778697,33.589650361793794,1.4618924212189208
47037,2011,22294833.433755882,28880067.379666753,4459913.29864893,34.923258223757834,45.23855509467767,6.986134444425364
