neighborhood,year,amount_business_1m,all_sb_loans,amount_business_1m_pp,all_sb_loans_pp
Highview,2013,575624.4077971547,2497364.639744188,31.49619215348844,136.6472225730022
Highview,2014,940643.9866389668,2998276.5948953643,52.173941241276104,166.30298934468712
Highview,2015,523640.45855357894,3688803.861496715,28.498990886773644,200.76215638928457
Highview,2016,1027208.2517180296,4176872.160611867,56.18379104731333,228.45660781118346
Highview,2017,446942.4793104699,4766265.994085893,24.445795510062347,260.6938682976477
Highview,2018,948168.4625061533,4034841.16392277,51.86066086015168,220.6881345469983
Hikes Point,2012,962176.8929771822,2805901.3303580396,246.08104679723328,717.621823620982
Hikes Point,2013,807161.6537718505,1259597.0018071246,209.21763965055743,326.48963240205404
Hikes Point,2014,1315966.475208281,2054038.3646449065,357.7940389364549,558.46611328029
Hikes Point,2015,662438.0539145552,729520.388488181,177.6926110285824,195.68679948717303
Hikes Point,2016,480813.41639925796,730047.1527617243,128.18272897874112,194.62734011242983
Hikes Point,2017,861275.2931050707,1178640.9520572948,229.61218157959763,314.2204617588096
Hikes Point,2018,886000,1422000,236.20367901892828,379.0989069581445
Indian Hills-Mockingbird Valley,2012,1483580.0137525266,4601248.158594793,291.06925912350926,902.7365427888548
Indian Hills-Mockingbird Valley,2013,3355031.1371911527,6059022.6773268515,639.6627525626602,1155.199747822088
Indian Hills-Mockingbird Valley,2014,3207733.715225277,5814540.81408655,588.4670180196803,1066.6924993737937
Indian Hills-Mockingbird Valley,2015,3866667.691282902,6774267.630458498,721.2586628022574,1263.620151176739
Indian Hills-Mockingbird Valley,2016,3236923.1510075317,7346164.3792836955,598.8756986137894,1359.142345843422
Indian Hills-Mockingbird Valley,2017,3103244.2729058294,7042252.1299977405,574.1432512314208,1302.914362626779
Indian Hills-Mockingbird Valley,2018,3153000,8755000,583.3487511563367,1619.7964847363553
Irish Hill-Clifton,2012,3409500.5864543705,7903377.453927057,632.9126761563709,1467.120373849463
Irish Hill-Clifton,2013,1991357.1088299018,6216717.870636276,370.278376502399,1155.953490263346
Irish Hill-Clifton,2014,2297814.0446253233,8154557.364841966,418.545363319731,1485.3474252899755
Irish Hill-Clifton,2015,2124757.274017719,7238917.352327832,378.2052819540262,1288.5221346258156
Irish Hill-Clifton,2016,4751261.852820872,14598342.652024383,839.1490379408111,2578.301422116634
Irish Hill-Clifton,2017,3256746.720541895,10922326.587753711,575.1936984355166,1929.0580338667805
Irish Hill-Clifton,2018,1973346.5206640763,8426912.221829742,348.52464158673195,1488.327838542872
Iroquois,2012,922399.7476809188,1845874.5533428176,273.5467816372832,547.4123823673837
Iroquois,2013,338795.4836226583,1075861.5200932692,101.86274312166515,323.470090226479
Iroquois,2014,1270949.3245050544,2494787.677343941,397.6687498451359,780.5968952890929
